,Text,Text_Tag,Barely-True,False,Half-True,Mostly-True,Not-Known,True
30,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",0,0,0,0,0,1
31,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","economy,labor,states,unions,workers",1,0,0,0,0,0
32,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",0,1,0,0,0,0
33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes",0,0,0,1,0,0
34,Says Mark Pryor votes with Obama 93 percent of the time.,"bipartisanship,voting-record",0,0,0,1,0,0
35,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",0,0,0,0,0,1
36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",0,0,0,0,0,1
37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military,0,0,0,0,0,1
38,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture",0,0,0,0,1,0
39,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,0,0,0,0,0,1
40,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",0,1,0,0,0,0
41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"military,voting-record",0,0,1,0,0,0
42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus",0,0,0,0,1,0
43,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"abortion,pundits,women",0,0,0,0,1,0
44,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",0,1,0,0,0,0
45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs",0,0,1,0,0,0
46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration",0,0,0,0,1,0
47,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",0,1,0,0,0,0
48,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military",0,0,0,0,1,0
49,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,patriotism,0,0,0,0,0,1
50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states",1,0,0,0,0,0
51,"Maggie Hassan raised tuition, making it the highest in America.",education,1,0,0,0,0,0
52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",0,1,0,0,0,0
53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,0,0,0,0,0,1
54,"We have towns in West Texas that are out of water, that are having to truck in water.",water,1,0,0,0,0,0
55,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women",0,0,1,0,0,0
56,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,0,0,1,0,0,0
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",immigration,1,0,0,0,0,0
58,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,0,1,0,0,0,0
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","elections,population",0,0,0,1,0,0
60,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care",0,1,0,0,0,0
61,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments,0,0,0,1,0,0
62,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",0,0,0,0,0,1
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","education,message-machine,taxes",0,0,0,1,0,0
64,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",0,1,0,0,0,0
65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",0,0,0,0,1,0
66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",0,0,0,0,0,1
67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",0,1,0,0,0,0
68,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"criminal-justice,terrorism",1,0,0,0,0,0
69,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"economy,financial-regulation,message-machine",1,0,0,0,0,0
70,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,0,0,0,0,0,1
71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012",1,0,0,0,0,0
72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",0,0,0,1,0,0
73,The only time in our history when the debt has been higher than this was the end of World War II.,debt,0,0,0,1,0,0
74,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",0,0,0,1,0,0
75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",0,0,0,0,0,1
76,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",0,1,0,0,0,0
77,Says one out of three U.S. homeless men is a veteran.,"poverty,veterans",1,0,0,0,0,0
78,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare",0,1,0,0,0,0
79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy,0,0,1,0,0,0
80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",0,0,0,0,0,1
81,"At some point in their lives, 99% of women use birth control.",sexuality,0,0,1,0,0,0
82,"In the past 20 years, Egypt has made great strides in political and democratic reform.","foreign-policy,abc-news-week",0,1,0,0,0,0
83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",0,1,0,0,0,0
84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,0,0,0,0,0,1
85,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care,0,0,1,0,0,0
86,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health,0,0,0,1,0,0
87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"crime,criminal-justice",0,0,0,1,0,0
88,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",taxes,1,0,0,0,0,0
89,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes",0,1,0,0,0,0
90,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration,0,1,0,0,0,0
91,I belong to the AFL-CIO.,"candidates-biography,labor",0,0,0,0,0,1
92,The insurance commissioner cant do squat about health care.,health-care,0,0,0,1,0,0
93,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,polls,0,0,1,0,0,0
94,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","foreign-policy,history,military",1,0,0,0,0,0
95,Says David Jolly supports privatizing Social Security.,social-security,1,0,0,0,0,0
96,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",0,0,0,0,0,1
97,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education,0,0,0,1,0,0
98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns,0,0,0,0,0,1
99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,housing,0,0,0,1,0,0
100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,guns,0,1,0,0,0,0
101,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",transportation,0,0,0,0,1,0
102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","income,message-machine-2014,poverty",0,0,0,1,0,0
103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","foreign-policy,history,terrorism",0,0,0,1,0,0
104,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","foreign-policy,military,terrorism",0,1,0,0,0,0
105,Sen. Obama has always had a 100 percent prochoice rating.,abortion,0,0,0,0,0,1
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",0,0,1,0,0,0
107,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",0,0,0,0,0,1
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",jobs,0,0,1,0,0,0
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","education,retirement",0,1,0,0,0,0
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"government-regulation,jobs,poverty,welfare",0,0,0,1,0,0
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","corporations,economy,health-care,public-health,workers",0,0,1,0,0,0
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes",0,0,1,0,0,0
113,Says Obama promised unemployment would never go above 8 percent.,jobs,1,0,0,0,0,0
114,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",0,0,0,0,0,1
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"foreign-policy,israel,message-machine-2012",0,0,0,1,0,0
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.","civil-rights,gays-and-lesbians,states",0,0,0,1,0,0
117,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,candidates-biography,0,0,0,0,1,0
118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments,0,0,0,0,1,0
119,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states",0,1,0,0,0,0
120,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","economy,retirement",0,0,0,1,0,0
121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid,0,0,0,1,0,0
122,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service",0,0,0,0,0,1
123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",education,0,0,0,1,0,0
124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","jobs,labor,unions",0,0,0,1,0,0
125,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments,0,0,0,0,0,1
126,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"education,technology,women",0,0,0,1,0,0
127,The Air Force wants taxpayers to fund a fantasy football league.,"families,federal-budget,military",0,1,0,0,0,0
128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"islam,message-machine-2012",0,0,0,0,1,0
129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"crime,guns",0,0,1,0,0,0
130,Some neighborhood schools are closing.,"education,state-budget",0,0,0,1,0,0
131,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,gays-and-lesbians,0,0,0,1,0,0
132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes",0,0,0,1,0,0
133,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","economy,jobs",1,0,0,0,0,0
134,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security,0,0,0,0,0,1
135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"congress,terrorism",0,1,0,0,0,0
136,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance",0,0,0,0,0,1
137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","foreign-policy,immigration,terrorism",0,0,0,0,1,0
138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","immigration,pundits",1,0,0,0,0,0
139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,immigration,0,0,0,1,0,0
140,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography,0,1,0,0,0,0
141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","disability,labor,states,workers",1,0,0,0,0,0
142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","debt,federal-budget,taxes",0,0,0,1,0,0
143,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",0,0,0,1,0,0
144,Donald Trump has said nuclear proliferation is OK.,nuclear,0,0,1,0,0,0
145,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,0,0,0,0,0,1
146,Barack Obama has never even worked in business.,candidates-biography,0,1,0,0,0,0
147,Says the Arizona immigration law expressly bans racial profiling.,immigration,0,0,1,0,0,0
148,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration",0,1,0,0,0,0
149,"On the VA: Over 300,000 veterans have died waiting for care.","health-care,veterans",1,0,0,0,0,0
150,Were now spending 42 percent of our economy on government.,"debates,federal-budget,government-efficiency",0,0,0,1,0,0
151,Rob Cornilles supports privatizing Medicare.,"medicare,message-machine-2012",1,0,0,0,0,0
152,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","abortion,corrections-and-updates",0,1,0,0,0,0
153,We (Democrats) have made steady progress creating jobs and improving our schools.,"education,government-efficiency,job-accomplishments,jobs",0,0,1,0,0,0
154,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment,0,0,0,0,1,0
155,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget",0,0,0,0,0,1
156,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine",0,1,0,0,0,0
157,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,"crime,debt,federal-budget,social-security",0,0,1,0,0,0
158,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.","gays-and-lesbians,government-regulation,sexuality",0,0,1,0,0,0
159,Climate change is directly related to the growth of terrorism.,"climate-change,terrorism",1,0,0,0,0,0
160,The jobs bill includes President Obamas tax on soup kitchens,"economy,jobs,taxes,workers",1,0,0,0,0,0
161,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,stimulus,1,0,0,0,0,0
162,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,civil-rights,0,0,1,0,0,0
163,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.","city-government,crime,drugs,government-regulation,marijuana",0,0,1,0,0,0
164,We have more illegal immigrants here than we did five years ago.,immigration,0,1,0,0,0,0
165,Says Rick Perry wrote a letter supporting Hillarycare.,health-care,1,0,0,0,0,0
166,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,sports,0,1,0,0,0,0
167,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits",0,0,0,0,1,0
168,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,immigration,0,0,0,1,0,0
169,Says Chris Christie vetoed a jobs package of 30 bills.,jobs,0,0,1,0,0,0
170,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs",0,0,0,0,0,1
171,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine",0,0,1,0,0,0
172,Barack Obama is in an economy thats only worsened since hes been president of the United States.,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",0,0,1,0,0,0
173,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",immigration,0,0,0,1,0,0
174,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.","economy,job-accomplishments,jobs",0,0,1,0,0,0
175,Says Thomas Eric Duncan came into the United States with an elevated temperature.,"ebola,health-care,public-health,transportation",0,1,0,0,0,0
176,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan,0,0,0,1,0,0
177,Gas prices have gone up $2 since Obama took office.,"energy,gas-prices",0,0,1,0,0,0
178,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women",0,0,0,0,0,1
179,Says judges get better benefits at a lower cost than everybody else in the state.,pensions,0,0,0,0,0,1
180,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states",0,0,0,0,0,1
181,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business",0,0,0,0,0,1
182,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare",0,0,1,0,0,0
183,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.","children,crime,education",0,0,1,0,0,0
184,If Texas were a country our economy would rank # 10...in the WORLD.,"corrections-and-updates,economy,states",0,0,0,1,0,0
185,There are more oil rigs in operation in the United States than the rest of the world combined.,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",0,1,0,0,0,0
186,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",financial-regulation,0,0,1,0,0,0
187,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social-security,0,0,1,0,0,0
188,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,"elections,taxes",0,0,0,1,0,0
189,The Obama administration shut down the Amber Alert program because of the government shutdown.,"children,crime,federal-budget",0,1,0,0,0,0
190,The Republicans have 2 percent of the Muslim vote.,religion,0,0,0,1,0,0
191,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",criminal-justice,0,0,0,1,0,0
192,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","energy,environment,military",0,0,0,0,1,0
193,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.","economy,jobs",0,0,1,0,0,0
194,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits",0,0,0,0,0,1
195,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,"candidates-biography,congress,foreign-policy,history,terrorism",0,0,0,1,0,0
196,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","pundits,transportation",0,1,0,0,0,0
197,Not one Republican has the guts to recognize that climate change is real.,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",0,1,0,0,0,0
198,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.","economy,income,workers",0,0,1,0,0,0
199,David Dewhurst has a record of promoting an income tax.,taxes,0,0,0,0,1,0
200,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,"environment,income",0,0,0,1,0,0
201,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",afghanistan,1,0,0,0,0,0
202,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","crime,homeland-security,immigration",0,1,0,0,0,0
203,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,"economy,jobs",1,0,0,0,0,0
204,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers",0,1,0,0,0,0
205,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,"corporations,economy,gays-and-lesbians,state-finances,states",1,0,0,0,0,0
206,Close to 30% of our federal prison population consists of illegal immigrants.,immigration,0,1,0,0,0,0
207,Says Rick Scott called education not a core function of the state.,"education,state-budget",0,1,0,0,0,0
208,"The Family Research Council, according to some government agencies, is a terrorist group.",terrorism,0,1,0,0,0,0
209,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes",0,0,0,0,0,1
210,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states",0,0,0,0,0,1
211,Obamacare is the biggest tax increase in American history.,"corrections-and-updates,federal-budget,health-care,taxes",0,1,0,0,0,0
212,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography,0,0,0,0,0,1
213,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.","economy,jobs,labor,workers",0,0,0,1,0,0
214,Milwaukee Mayor Tom Barrett has held the line on property taxes.,"job-accomplishments,taxes",1,0,0,0,0,0
215,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance,0,0,0,0,0,1
216,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments",0,0,0,0,0,1
217,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,"job-accomplishments,message-machine-2012,state-finances",0,1,0,0,0,0
218,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.","campaign-finance,environment",0,0,1,0,0,0
219,On how money from a possible lease of the Ohio Turnpike would be used,"infrastructure,transportation",0,0,1,0,0,0
220,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.","economy,federal-budget",0,0,0,1,0,0
221,"The president has had 1,540 of his nominations confirmed, only four defeated.",legal-issues,0,0,1,0,0,0
222,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism",0,0,0,0,0,1
223,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.","labor,public-safety",1,0,0,0,0,0
224,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,"criminal-justice,government-regulation",0,0,0,1,0,0
225,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""","economy,history,workers",0,0,0,0,0,1
226,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",iraq,0,0,0,0,0,1
227,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,bipartisanship,1,0,0,0,0,0
228,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,taxes,0,0,1,0,0,0
229,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""","kagan-nomination,military,abc-news-week",0,0,1,0,0,0
230,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.","children,education,state-budget,state-finances",0,0,0,1,0,0
